"","ID","Coef_PTLvsControl","P_PTLvsControl","Q_PTLvsControl","Coef_PPROMvsControl","P_PPROMvsControl","Q_PPROMvsControl"
"nbb.19","VEGF",-0.542674328234769,1.11191412431085e-05,0.000182263116906083,-0.786585648212001,9.17451572762343e-10,2.56886440373456e-08
"nbb.24","MIP1b",1.06826718331163,1.30187940647202e-05,0.000182263116906083,0.789851697071857,0.00365231374960256,0.0511323924944358
"nbb.23","MIP1a",1.0345416350399,2.65563626051292e-05,0.000247859384314539,0.705701357121206,0.0103066080968778,0.0577170053425156
"nbb.7","IL6",0.964970019358425,3.70040073013813e-05,0.000259028051109669,0.627482389992424,0.0161823129747599,0.0647292518990396
"nbb.4","IL1b",0.684300486898035,0.000359083393096108,0.0020108670013382,0.540476464833433,0.0130912698678586,0.0610925927166735
"nbb.6","IL4",0.478123350057192,0.0026628370744954,0.0107569613068828,0.237222327669801,0.181554926137134,0.363109852274267
"nbb.20","IL8.1",0.442207391064556,0.00268924032672069,0.0107569613068828,0.122342821004201,0.462492903369047,0.616657204492063
"nbb.22","MCP1",0.393294854342432,0.00495996989942467,0.0173598946479863,0.407086014891221,0.0079427487989948,0.0573679650478852
"nbb.2","IL12p70",0.461663886720247,0.007729279619086,0.0228347115600171,-0.0127467473590421,0.947800738029684,0.947800738029684
"nbb.9","TNFa",0.453096521454575,0.00815525412857755,0.0228347115600171,0.108332875485809,0.58311272954771,0.723770604471864
"nbb.1","IL10",0.347745287371673,0.00933260717303298,0.0237557273495385,0.162311596782784,0.272996296626227,0.477743519095898
"nbb.13","IL16",0.607482603822574,0.0107106735405508,0.0249915715946184,0.444345599947481,0.0972770220955225,0.282613403426656
"nbb","IFNg",0.451449578713216,0.013165245099366,0.0283559125217115,0.410930436502944,0.044567812471422,0.155987343649977
"nbb.5","IL2",0.28420387158381,0.0185270172217723,0.0370540344435447,0.129139641026131,0.340943706093098,0.519962965341464
"nbb.14","IL17A",0.463111685194489,0.0251668310825262,0.0469780846873822,0.226001695942521,0.335007479441467,0.519962965341464
"nbb.12","IL15",0.463377333880122,0.0511896012984958,0.0895818022723676,0.141788252002984,0.594525853673317,0.723770604471864
"nbb.3","IL13",0.20850208207916,0.0917976022160079,0.151196050708719,-0.00975191342956514,0.945179764610615,0.947800738029684
"nbb.18","TNFb",0.320847015646873,0.0995785756440315,0.154900006557382,-0.163505691317419,0.443005338984068,0.616657204492063
"nbb.11","IL12_IL23p40",0.340374775255077,0.120156458331247,0.177072675435522,0.281774560931346,0.250135448608465,0.466919504069135
"nbb.27","SLPI",0.264249696486683,0.131231159675861,0.183723623546205,-0.316203485251481,0.100973927229526,0.282613403426656
"nbb.8","IL8",0.139803333784066,0.185295076170113,0.24706010156015,0.0471759405250923,0.690924302896899,0.806078353379715
"nbb.15","IL1a",-0.182371861007722,0.206136627362053,0.262355707551703,-0.0134904530920358,0.932057815023392,0.947800738029684
"nbb.25","TARC",0.170728208402948,0.231660586459627,0.282021583516068,0.0235282707351382,0.880590933520712,0.947800738029684
"nbb.26","bDefensin2",-0.270329950493848,0.252027220479961,0.294031757226622,-0.681752988779046,0.00819542357826931,0.0573679650478852
"nbb.17","IL7",0.207398772477163,0.355741712435873,0.398430717928178,0.227299644733988,0.352832012195993,0.519962965341464
"nbb.16","IL5",-0.149825063199372,0.401742085199266,0.432645322522286,-0.289898531057935,0.134349744189366,0.30660292400359
"nbb.21","IP10",0.0680904230154517,0.67354578050453,0.698491920523217,-0.264544742663241,0.142351357573095,0.30660292400359
"nbb.10","GMCSF",0.0136689207469063,0.931400600004989,0.931400600004989,0.282740945124221,0.111026694203329,0.282613403426656
