"","ID","Coef_PTL_20.34vsControl","P_PTL_20.34vsControl","Q_PTL_20.34vsControl","Coef_PTL_34.37vsControl","P_PTL_34.37vsControl","Q_PTL_34.37vsControl","Coef_PPROM_20.34vsControl","P_PPROM_20.34vsControl","Q_PPROM_20.34vsControl","Coef_PPROM_34.37vsControl","P_PPROM_34.37vsControl","Q_PPROM_34.37vsControl"
"nbb","IFNg",0.437722550369128,0.181944598023785,0.390476478545318,0.459813513929579,0.024752595267616,0.0577560556244373,0.320063023360062,0.321826969534754,0.402236985979403,0.462104423035042,0.0567578486113054,0.939058655002998
"nbb.1","IL10",0.316540825099417,0.181715894931955,0.390476478545318,0.355615419477825,0.0186934212301204,0.052341579444337,0.298813048608509,0.193270321742531,0.270578450439544,0.0826771434095142,0.645361643984032,0.939058655002998
"nbb.2","IL12p70",0.374025803159221,0.228852547900421,0.390476478545318,0.4740341794412,0.0143625275632226,0.0446834190855815,0.0122537653728677,0.967676965388928,0.967676965388928,-0.027570438478134,0.905520845895748,0.939058655002998
"nbb.3","IL13",0.102308780035097,0.645237165430431,0.860316220573908,0.25485495696573,0.0697499748364642,0.114882311495353,0.21123878747351,0.330408952768795,0.402236985979403,-0.137236088334763,0.424752502631684,0.939058655002998
"nbb.4","IL1b",0.769937653334183,0.0218061314118439,0.152642919882907,0.626013170178608,0.00399680690805843,0.027977648356409,0.959148114252868,0.00355112820027419,0.0165719316012796,0.301757528505931,0.25154252740488,0.939058655002998
"nbb.5","IL2",0.299340420280316,0.162494457789911,0.390476478545318,0.275644490577065,0.0441115751956637,0.0823416070319057,0.309304717004626,0.136918516891801,0.225512851351202,0.0259407656703288,0.875089927444871,0.939058655002998
"nbb.6","IL4",0.532191026088294,0.0622081696873026,0.322466835393037,0.454920384947827,0.0117444930712199,0.0411057257492697,0.573289809431817,0.038299000554269,0.0824901550399639,0.0523690462799008,0.807882281729271,0.939058655002998
"nbb.7","IL6",0.992490422486559,0.0150770112859711,0.140718772002397,0.947911358984116,0.000340766192610605,0.00404784639219569,1.39995057319851,0.000413245668339459,0.00385695957116829,0.165918636401242,0.598928716423863,0.939058655002998
"nbb.8","IL8",-0.0180885086198162,0.922830021532393,0.975803929054141,0.201126201449782,0.0918494327604585,0.135357058804886,0.279328449959632,0.120482667340442,0.210844667845773,-0.0995248080058252,0.491747260989597,0.939058655002998
"nbb.9","TNFa",0.311304278832983,0.314409936849617,0.463340959567857,0.507930451863385,0.00875984030120418,0.0384733474939751,0.413328173411025,0.170441350007971,0.265130988901288,-0.0573521639076725,0.810238085562612,0.939058655002998
"nbb.10","GMCSF",0.0796867518007904,0.77659771324474,0.879062654196302,-0.0351522476615377,0.843082800331807,0.843082800331807,0.725354977347052,0.00795409812751099,0.0278393434462885,0.0354999102294318,0.866644094523914,0.939058655002998
"nbb.11","IL12_IL23p40",0.459928911621596,0.237075004831086,0.390476478545318,0.240266144634234,0.328854318398091,0.383663371464439,0.872541733669932,0.0200253697319171,0.0467258627078066,-0.0553982592970819,0.851916744079572,0.939058655002998
"nbb.12","IL15",0.121464340059647,0.772895211109991,0.879062654196302,0.551401068698031,0.0392256173540917,0.0784512347081834,1.00372795988515,0.0143906621271168,0.0371189614578062,-0.344164226296327,0.280538360880331,0.939058655002998
"nbb.13","IL16",0.538665532016288,0.196199187916004,0.390476478545318,0.61101836712551,0.0231005091256976,0.0577560556244373,0.997993434309734,0.0141456277393697,0.0371189614578062,0.0864566837629869,0.789159365465163,0.939058655002998
