"","Estimate","P","r","q"
"bDefensin2",-0.0493360789227606,6.11066290426784e-12,-0.133037167550933,1.71098561319499e-10
"IL1a",-0.0248530347457525,1.1511960315062e-07,-0.0870486960734559,1.61167444410867e-06
"IL1b",-0.0244434380335092,2.87598002864365e-05,-0.049293742851072,0.000253981338070137
"IL12_IL23p40",-0.0324651168523784,3.62830482957339e-05,-0.0732830873071398,0.000253981338070137
"IP10",0.0230740168075612,0.000185250824069848,0.0685304700801175,0.00103740461479115
"IL2",-0.0154860636853213,0.00152341689247747,-0.0696892824919062,0.00710927883156152
"GMCSF",-0.0231710747440602,0.00210933033238984,-0.0737090952881847,0.00843732132955935
"VEGF",0.0148679780886828,0.003829629091918,0.0695050121741244,0.013403701821713
"IL8",-0.0101548635224449,0.00906314473237634,-0.0516083226533685,0.0281964502785042
"TARC",0.0162702026052419,0.0225679973735402,0.0061547476454496,0.0631903926459127
"SLPI",0.0142708833895299,0.0479616197451328,0.0254098610059602,0.122084122987611
"IL8.1",0.00965127965086503,0.0777828352951549,0.0197494403210559,0.181493282355361
"MCP1",0.008453789331561,0.127860838012128,0.0191446133764949,0.274843639124073
"IL16",0.0125985398914436,0.138948813395496,0.0250061907595805,0.274843639124073
"IL6",-0.0126496297022277,0.147237663816467,-0.0185949151167447,0.274843639124073
"IL7",0.0140095774031408,0.201841264826314,0.0182654658179538,0.35322221344605
"IL17A",-0.0100270777983655,0.22784577082242,-0.0167097073660843,0.358785245794205
"IL5",-0.0106515262530841,0.23064765801056,-0.0407971973896217,0.358785245794205
"IL15",-0.0109262924568716,0.306795682756693,-0.0259984400508866,0.452119953536179
"IL13",-0.00499243352494108,0.328481172719545,-0.0337541122981108,0.459873641807363
"TNFb",0.00596508987197181,0.567163362244065,0.00967406328347314,0.714787820860631
"IL10",-0.00319317410789191,0.571411521855667,-0.0130217641513176,0.714787820860631
"MIP1b",0.00454636580750979,0.587147138564089,-0.00487921416370342,0.714787820860631
"MIP1a",-0.00306616959788918,0.769130454654411,-0.0118356481916743,0.89731886376348
"IL12p70",-0.00168407305980038,0.840535814384899,-0.0239497341652856,0.909458613229075
"IFNg",-0.00184071552597756,0.844497283712712,-0.019617233058215,0.909458613229075
"IL4",0.000429437828773825,0.956025954431835,-0.0114812594798229,0.991434323114496
"TNFa",-4.37275912464192e-06,0.999489302897649,-0.013807181275983,0.999489302897649
